Nume,Bucati,Pret/buc,Pret total,Observatii
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,18,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,20,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,20,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,20,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,20,0,0,
surub PFL,22,0,0,
balama usa franta,2,0,0,
balama 170 deg,2,0,0,
surub 3.5x16,16,0,0,
picioare,6,0,0,
clema plinta,3,0,0,
surub 3.5x16,12,0,0,
surub blat,4,0,0,
L,2,0,0,
surub,19,0,0,
plinta,0.7,0,0.0,
sipca apa,1.7,0,0.0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,18,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,20,0,0,
surub,4,0,0,
sipca apa,0.45,0,0.0,
plinta,0.45,0,0.0,
surub intre corpuri,10,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,6,0,0,
clema plinta,3.0,0,0.0,
surub 3.5x16,24,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,1.0,0,0.0,
sipca apa,1.0,0,0.0,
surub PFL,24,0,0,
picioare,2,0,0,
clema plinta,1.0,0,0.0,
surub 3.5x16,8,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.3,0,0.0,
sipca apa,0.3,0,0.0,
surub PFL,14,0,0,
surub 3.5x16,8,0,0,
surub 3.5x16,8,0,0,
Joly300500,1,0,0,
surub PFL,14,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub PFL,18,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.3,0,0.0,
surub diblu perete,1,0,0,
surub PFL,14,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub PFL,18,0,0,
balama usa franta,2,0,0,
balama 170 deg,2,0,0,
surub 3.5x16,16,0,0,
surub,20,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.212,0,0.0,
surub diblu perete,1,0,0,
surub PFL,12,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub PFL,18,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
TOTAL picioare,22,0,0
TOTAL clema plinta,11.0,0,0.0
TOTAL surub 3.5x16,204,0,0
TOTAL surub blat,20,0,0
TOTAL surub,171,0,0
TOTAL plinta,3.65,0,0.0
TOTAL sipca apa,4.6499999999999995,0,0.0
TOTAL surub PFL,308,0,0
TOTAL pereche glisiera 450 mm,5,0,0
TOTAL balama usa franta,4,0,0
TOTAL balama 170 deg,4,0,0
TOTAL L,2,0,0
TOTAL surub intre corpuri,10,0,0
TOTAL balama aplicata,5,0,0
TOTAL amortizor,3,0,0
TOTAL maner,2,0,0
TOTAL Joly300500,1,0,0
TOTAL pereche clema prindere perete,5,0,0
TOTAL sina perete,2.312,0,0.0
TOTAL surub diblu perete,11,0,0
TOTAL bolt polita,36,0,0
